TF,target,correlation
E2F1,BIRC5,0.7084469479980238
E2F1,CCNB1,0.6639157949967506
E2F1,CCNB2,0.6913557343838174
E2F1,CDC20,0.7499201860990987
FOXM1,BIRC5,0.8264464481406119
FOXM1,CCNB1,0.8005306889445349
FOXM1,CCNB2,0.8596385234666868
FOXM1,CDC20,0.8532604576077283
FOXM1,KIF2C,0.8632134466428321
MYC,BIRC5,0.26604327253110654
MYC,CCNB1,0.27520662667388585
MYC,CDC20,0.24624407852482372
TP53,BIRC5,-0.14649361841556505
TP53,CCNB1,-0.07758433034832435
TP53,CDC20,-0.11927024288622297
STAT3,BIRC5,-0.22962474220090506
STAT3,CCNB1,-0.24801999073105488
NF-kB (RELA),BIRC5,0.2052367473271543
