gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,gene_type,regulation
ENSG00000165312,1117.3214166539126,-2.12700320240737,0.08162339208690657,-26.05874551430911,1.0708555799046847e-149,9.412820547362178e-146,OTUD1,protein_coding,Down
ENSG00000235387,66.74178839375911,-2.7184137003487927,0.11191518713567301,-24.289944644003523,2.503813774907429e-130,1.100426154071815e-126,SPAAR,protein_coding,Down
ENSG00000116016,27940.773390235274,-2.6973200955507033,0.11130006691230675,-24.23466733111598,9.594987289181167e-130,3.614568783081534e-126,EPAS1,protein_coding,Down
ENSG00000135604,827.380836540576,-3.066553120043567,0.12709013357326818,-24.128962916509032,1.2417872205363436e-128,3.6384365561714867e-125,STX11,protein_coding,Down
ENSG00000261371,12086.561759160732,-2.3172847871314506,0.0971837472747638,-23.84436546349548,1.1585439158854035e-125,2.777345732899827e-122,PECAM1,protein_coding,Down
ENSG00000170989,1799.9344922736377,-2.8593790639354553,0.12214032799967409,-23.410605741480286,3.332653292692967e-121,5.492629208019596e-118,S1PR1,protein_coding,Down
ENSG00000102760,3448.586261246189,-2.8691314006634596,0.12319439570294499,-23.289463650454614,5.669069244588741e-120,8.793726822341476e-117,RGCC,protein_coding,Down
ENSG00000139567,2273.238684957201,-2.553152866097193,0.10999812439378298,-23.210876368738298,3.53592594881111e-119,5.180131515008276e-116,ACVRL1,protein_coding,Down
ENSG00000010319,734.863292763469,-3.193156048448044,0.13768695074081622,-23.191421055281296,5.557766316025995e-119,7.713594618610814e-116,SEMA3G,protein_coding,Down
ENSG00000182010,2133.296812229642,-4.08102854726914,0.1766953036117914,-23.096417753328456,5.030149315384375e-118,6.632251872334298e-115,RTKN2,protein_coding,Down
ENSG00000120156,960.8698049499318,-3.27973602938882,0.14257338710008538,-23.003844518938667,4.266061196555587e-117,5.35695398824623e-114,TEK,protein_coding,Down
ENSG00000070778,1172.9809944794888,-2.4621791168433864,0.10737246951636915,-22.931195751887053,2.2700891937186265e-116,2.6027066103634863e-113,PTPN21,protein_coding,Down
ENSG00000122679,1139.37735290377,-3.1983042710813705,0.13952463424250414,-22.92286439914604,2.748882083489789e-116,2.899520821665029e-113,RAMP3,protein_coding,Down
ENSG00000213853,14868.335896353521,-2.7196305303619135,0.11879752221830342,-22.89299035517168,5.456709282151616e-116,5.534362452705312e-113,EMP2,protein_coding,Down
ENSG00000151718,2002.1183026444503,-2.4008796426884973,0.10591033567683394,-22.66898341267035,9.066357224722345e-114,8.244132414342352e-111,WWC2,protein_coding,Down
ENSG00000157654,6194.343225342296,-2.532153632756964,0.11203266307376966,-22.601923075680418,4.1490432136805487e-113,3.419070923273627e-110,PALM2AKAP2,protein_coding,Down
ENSG00000168309,1770.3831293394132,-4.532881057470735,0.20199931733964413,-22.440081071408247,1.5995301389480088e-111,1.2781699928502725e-108,FAM107A,protein_coding,Down
ENSG00000131477,944.3717161423447,-2.8359929376728905,0.12649264390463688,-22.420220260483706,2.4994554058771063e-111,1.9385482074405676e-108,RAMP2,protein_coding,Down
ENSG00000132622,439.8354864720682,-2.7700190003351337,0.12360815288697409,-22.40967877635068,3.1671373622586196e-111,2.3862117783645658e-108,HSPA12B,protein_coding,Down
ENSG00000169744,992.1765762964751,-2.615844673021769,0.1169349374131373,-22.370086570276694,7.698721770644443e-111,5.639313696997055e-108,LDB2,protein_coding,Down
ENSG00000072163,1240.4123039586357,-2.7857495936244594,0.12721603187886035,-21.897787193025714,2.727065854369766e-106,1.598060590660683e-103,LIMS2,protein_coding,Down
ENSG00000105227,1156.8961278456663,-3.325088919439041,0.153645311951005,-21.641330133778233,7.335639052236003e-104,3.7929568981855563e-101,PRX,protein_coding,Down
ENSG00000154133,1315.469560913839,-2.8173986300914637,0.13031086022254046,-21.62059728007325,1.1497970759309184e-103,5.830797863903523e-101,ROBO4,protein_coding,Down
ENSG00000136160,1551.894006591968,-3.515253988673249,0.16261461542528255,-21.617085152400847,1.2406995459480268e-103,6.173065476726315e-101,EDNRB,protein_coding,Down
ENSG00000171132,1034.8980991875517,-1.9140433547652704,0.08921649935431082,-21.453916804826825,4.197742199865008e-102,1.729600965788129e-99,PRKCE,protein_coding,Down
ENSG00000154721,722.2930157934336,-2.522205574966355,0.1185732237536147,-21.27129123356963,2.094356234148563e-100,8.12179027860259e-98,JAM2,protein_coding,Down
ENSG00000179776,3199.952123957735,-2.5359701908320758,0.12009820127581423,-21.115804932065853,5.693195833877879e-99,1.9497347290825933e-96,CDH5,protein_coding,Down
ENSG00000095370,1148.4521535137583,-2.2689898204815804,0.10760350044865782,-21.086579999915628,1.0562727216315286e-98,3.5258116037244824e-96,SH2D3C,protein_coding,Down
ENSG00000186994,281.02243806582766,-2.8264323951757793,0.13459106288345293,-21.00014915272112,6.537999119718343e-98,2.0283180798467377e-95,KANK3,protein_coding,Down
ENSG00000064989,2459.0348793804133,-2.786327212726215,0.13294702115111107,-20.958177088896207,1.580239661328479e-97,4.7897609045094245e-95,CALCRL,protein_coding,Down
ENSG00000238018,114.580754647422,-3.3401956918402305,0.15952293450092503,-20.938655010893505,2.380857803608996e-97,6.975913364574359e-95,AC093110.1,lncRNA,Down
ENSG00000228401,31.73905066037129,-3.623346796035311,0.17378094076300657,-20.850081603463313,1.5216283706507285e-96,4.314552702587066e-94,AL590226.1,lncRNA,Down
ENSG00000162367,190.85172891193608,-2.8054560811066733,0.1363245047346652,-20.57925012503852,4.211457454302131e-94,1.1105613306994719e-91,TAL1,protein_coding,Down
ENSG00000134256,248.5092014957704,-2.765156884924202,0.13478329308430861,-20.515575941556513,1.5630637146924325e-93,4.001746617130044e-91,CD101,protein_coding,Down
ENSG00000166265,788.8684128072057,-2.2751279805335396,0.1109701670209756,-20.50215874779655,2.0595147603084273e-93,5.222058098974349e-91,CYYR1,protein_coding,Down
ENSG00000107742,6497.909739133317,-3.1734218516858728,0.15627647250290533,-20.306459448826345,1.1274459132295427e-91,2.63103971078434e-89,SPOCK2,protein_coding,Down
ENSG00000103241,608.391594900037,-2.7338500726172406,0.13472043307833498,-20.29276487722992,1.4897684422142777e-91,3.446069633437763e-89,FOXF1,protein_coding,Down
ENSG00000142748,1549.3299268358896,-4.4889567180537036,0.22154815607081454,-20.261765196632357,2.7975132073726353e-91,6.359519248139344e-89,FCN3,protein_coding,Down
ENSG00000137834,878.8463574523325,-2.55378079638145,0.12615974284266174,-20.242438188593642,4.1416453561101785e-91,9.33463145646371e-89,SMAD6,protein_coding,Down
ENSG00000263155,132.2965189521674,-3.2997570923859043,0.16326637256096901,-20.21088017468917,7.853497806740282e-91,1.7550570946079766e-88,MYZAP,protein_coding,Down
ENSG00000133121,832.4413439143907,-2.0455830059604208,0.10199563243349764,-20.05559411864194,1.8037632587863547e-89,3.775018820174299e-87,STARD13,protein_coding,Down
ENSG00000189129,291.0854380039314,-2.71373383828165,0.13540531061711397,-20.041561338426995,2.3914717356530624e-89,4.965599186548918e-87,PLAC9,protein_coding,Down
ENSG00000154783,1246.4015126866414,-2.251964063440486,0.11242980717571825,-20.02995575649131,3.019260686861227e-89,6.22014877441645e-87,FGD5,protein_coding,Down
ENSG00000171115,1108.4848946314546,-2.4602552589954367,0.1231376193387549,-19.979720837603725,8.268492185706172e-89,1.6644285415043647e-86,GIMAP8,protein_coding,Down
ENSG00000168497,3232.961321656257,-3.3046411486138263,0.16690839819860054,-19.799130446879662,3.0287669066085677e-87,5.396525900491076e-85,CAVIN2,protein_coding,Down
ENSG00000197256,4717.070098721927,-1.6439630815769464,0.0833023470867989,-19.734895102823202,1.0817115446307384e-86,1.8890551941663956e-84,KANK2,protein_coding,Down
ENSG00000022267,3151.1369692805592,-3.4278102356594404,0.17370782246614322,-19.73319443531418,1.1187268989233144e-86,1.9408439687241974e-84,FHL1,protein_coding,Down
ENSG00000108576,1138.3562960740735,-6.124952613120033,0.31206917623941305,-19.626906722825762,9.109448399858146e-86,1.5203554069889831e-83,SLC6A4,protein_coding,Down
ENSG00000120279,513.4065872737448,-2.266517391274897,0.11554179551003657,-19.616428680805946,1.1194695883369884e-85,1.845025815277899e-83,MYCT1,protein_coding,Down
ENSG00000094963,2542.0549048320445,-3.2883975119455497,0.16779545933283058,-19.597654936674125,1.619156216902929e-85,2.651996859610574e-83,FMO2,protein_coding,Down
ENSG00000198844,650.4086506357609,-2.4281094771514806,0.12396732998908781,-19.58668850385996,2.008359562853231e-85,3.2292952239292498e-83,ARHGEF15,protein_coding,Down
ENSG00000130052,708.6300755839833,-2.214278130647391,0.11306437703072801,-19.584224393202174,2.1079252051816995e-85,3.36884773700857e-83,STARD8,protein_coding,Down
ENSG00000101280,55.76083340920566,-4.212322564556593,0.21512520490812556,-19.580795129773694,2.254733874499151e-85,3.581767004249555e-83,ANGPT4,protein_coding,Down
ENSG00000150048,188.50797610035988,-2.298602389168876,0.11751113649864453,-19.56071958503601,3.343258968518993e-85,5.247722559514634e-83,CLEC1A,protein_coding,Down
ENSG00000198873,1485.1656913743634,-2.480904482465151,0.12700992625069776,-19.53315426361427,5.738320631293526e-85,8.953817458414809e-83,GRK5,protein_coding,Down
ENSG00000137507,2089.357759962874,-2.352137144829216,0.12087273570500091,-19.459617018760834,2.4158332060469304e-84,3.6196319115600885e-82,LRRC32,protein_coding,Down
ENSG00000101331,110.41053822514215,-2.5101617085760206,0.12935520484066673,-19.405185215916994,6.976667104505253e-84,1.016434870418804e-81,CCM2L,protein_coding,Down
ENSG00000115306,21670.08862316857,-1.7808531843346822,0.0918145503127365,-19.396197860456578,8.309446842198881e-84,1.2039566660922226e-81,SPTBN1,protein_coding,Down
ENSG00000163815,461.1264417997934,-3.7385914930294635,0.19281659600783527,-19.389365700022744,9.489995067736458e-84,1.36749273189186e-81,CLEC3B,protein_coding,Down
ENSG00000249751,46.056265019954566,-2.252802952310606,0.11624024172414842,-19.380576974854964,1.1257766827715803e-83,1.613409300254705e-81,ECSCR,protein_coding,Down
