gene,drug,pathway,mechanism,clinical_stage,references
BIRC5,YM155 (Sepantronium),Apoptosis evasion; IAP family,Survivin inhibitor — restores apoptosis in tumor cells,Phase II (YM155 in NSCLC),"Giaccone et al., JCO 2009; Kelly et al., JCO 2013"
BIRC5,LY2181308,Apoptosis evasion; IAP family,Survivin inhibitor — restores apoptosis in tumor cells,Phase II (YM155 in NSCLC),"Giaccone et al., JCO 2009; Kelly et al., JCO 2013"
BIRC5,Shepherdin,Apoptosis evasion; IAP family,Survivin inhibitor — restores apoptosis in tumor cells,Phase II (YM155 in NSCLC),"Giaccone et al., JCO 2009; Kelly et al., JCO 2013"
CCNB1,Paclitaxel,Cell cycle (G2/M); Mitotic spindle,Cyclin B1 drives G2/M; taxanes trap cells in mitosis,FDA-approved (taxanes for NSCLC),"Soria et al., NEJM 2018"
CCNB1,Docetaxel,Cell cycle (G2/M); Mitotic spindle,Cyclin B1 drives G2/M; taxanes trap cells in mitosis,FDA-approved (taxanes for NSCLC),"Soria et al., NEJM 2018"
CCNB1,Vinorelbine,Cell cycle (G2/M); Mitotic spindle,Cyclin B1 drives G2/M; taxanes trap cells in mitosis,FDA-approved (taxanes for NSCLC),"Soria et al., NEJM 2018"
CCNB1,RO-3306,Cell cycle (G2/M); Mitotic spindle,Cyclin B1 drives G2/M; taxanes trap cells in mitosis,FDA-approved (taxanes for NSCLC),"Soria et al., NEJM 2018"
CCNB2,Paclitaxel,Cell cycle (G2/M); CDK1 activation,CDK inhibitors block cyclin B2-dependent mitotic entry,Phase III (Palbociclib combinations),"Asghar et al., Nat Rev Drug Discov 2015"
CCNB2,Palbociclib,Cell cycle (G2/M); CDK1 activation,CDK inhibitors block cyclin B2-dependent mitotic entry,Phase III (Palbociclib combinations),"Asghar et al., Nat Rev Drug Discov 2015"
CCNB2,Dinaciclib,Cell cycle (G2/M); CDK1 activation,CDK inhibitors block cyclin B2-dependent mitotic entry,Phase III (Palbociclib combinations),"Asghar et al., Nat Rev Drug Discov 2015"
CDC20,Apcin,APC/C complex; Spindle assembly checkpoint,"CDC20 inhibitors block APC/C, arrest mitosis",Preclinical,"Zeng et al., Cancer Lett 2016"
CDC20,pro-TAME,APC/C complex; Spindle assembly checkpoint,"CDC20 inhibitors block APC/C, arrest mitosis",Preclinical,"Zeng et al., Cancer Lett 2016"
CDC20,CFM-4.16,APC/C complex; Spindle assembly checkpoint,"CDC20 inhibitors block APC/C, arrest mitosis",Preclinical,"Zeng et al., Cancer Lett 2016"
KIF2C,Ispinesib,Kinesin motor proteins; Mitotic spindle,Kinesin inhibitors disrupt spindle formation,Phase II (Ispinesib in solid tumors),"Rath & Bhatt, J Mol Med 2015"
KIF2C,GSK923295,Kinesin motor proteins; Mitotic spindle,Kinesin inhibitors disrupt spindle formation,Phase II (Ispinesib in solid tumors),"Rath & Bhatt, J Mol Med 2015"
KIF2C,ARRY-520,Kinesin motor proteins; Mitotic spindle,Kinesin inhibitors disrupt spindle formation,Phase II (Ispinesib in solid tumors),"Rath & Bhatt, J Mol Med 2015"
