Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,direction
GO_Biological_Process_2023,Cilium Movement (GO:0003341),24/59,5.1281645125866176e-08,8.625386770073768e-05,0,0,4.8301504062698095,81.0785808272002,DNAI4;CFAP61;DNAI2;RSPH4A;DNAI3;CFAP73;SPEF1;DNAH7;SPAG6;DNAAF1;CFAP91;DNAAF6;DNAH9;RSPH9;TTC29;CFAP100;TEKT1;HYDIN;TEKT2;TEKT3;ROPN1L;TEKT4;CFAP53;DNAI1,Down
GO_Biological_Process_2023,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),49/179,6.402487861849806e-08,8.625386770073768e-05,0,0,2.667491066390822,44.18430628738892,FLT4;ADRA1D;ARRB1;FGF2;CX3CL1;BMPER;GLIPR2;GPER1;FFAR4;TNFAIP8L3;CCN2;CD36;MUSK;NRG1;NPNT;MTURN;ROR1;GAS6;CD44;DDR2;CCL14;NDRG4;RAMP3;ALOX15;C5AR1;PDGFB;FPR2;PLA2G5;AGER;ERBB4;P2RY1;CCL2;ALKAL2;CCL18;CCL16;CCL24;NTRK2;CCL23;ANGPT1;NTRK3;PLA2G2A;SCIMP;MARCO;BMP2;TEK;FGFR4;FERMT2;FGFR2;FGF10,Down
GO_Biological_Process_2023,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),61/244,6.567553378228757e-08,8.625386770073768e-05,0,0,2.3633633633633635,39.086578039522266,FLT4;ADRA1D;ARRB1;FGF2;CX3CL1;BMPER;GLIPR2;GPER1;FFAR4;TIMP3;SIRPA;TNFAIP8L3;CCN2;CD36;SEMA6A;MUSK;NRG1;NPNT;DUSP26;MTURN;TGFBR3;IL1B;ROR1;GAS6;TLR4;CD44;DDR2;CCL14;NDRG4;RAMP3;ALOX15;C5AR1;PDGFB;FBLN1;FPR2;PLA2G5;AGER;RRAS;ERBB4;P2RY1;CCL2;ALKAL2;CCL18;CCL16;CCL24;NTRK2;PTPN1;CCL23;ANGPT1;NTRK3;PLA2G2A;DAB2IP;SCIMP;MARCO;BMP2;NEK10;TEK;FGFR4;FERMT2;FGFR2;FGF10,Down
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),72/310,1.1201458741929197e-07,0.00011033436860800258,0,0,2.1477622723297465,34.37415494957071,FLT4;LRRK2;ADRA1D;ARRB1;FGF2;CX3CL1;GHR;BMPER;GLIPR2;GPER1;FFAR4;PLCE1;TNFAIP8L3;CCN2;CD36;EDN1;MUSK;EDN3;NRG1;NPNT;MTURN;DOK2;IL1B;DOK6;ROR1;GAS6;TLR4;CD44;JCAD;DDR2;CCL14;NDRG4;RAMP3;PLA2G1B;ALOX15;C5AR1;PDGFB;FPR2;PLA2G5;ADRB2;AGER;ART4;PIK3R5;ERBB4;P2RY1;S100A12;CCL2;ALKAL2;CCL18;CCL16;CCL24;NTRK2;CCL23;TGFB2;ANGPT1;CAV2;IL34;NTRK3;PLA2G2A;DAB2IP;LAPTM5;SCIMP;MARCO;EPGN;BMP2;IL6;NEK10;TEK;FGFR4;FERMT2;FGFR2;FGF10,Down
GO_Biological_Process_2023,Regulation Of Angiogenesis (GO:0045765),51/205,8.91931748358625e-07,0.0007028422177065965,0,0,2.342357683099934,32.62875259460744,SEMA5A;HSPB6;PTPRM;TNFAIP3;TSPAN12;ETS1;FGF2;AQP1;CDH5;BMPER;HYAL1;ADAMTS1;ITGAX;EMILIN2;CD34;HOXA5;PPP1R16B;SEMA6A;PTGIS;ANXA3;KRT1;GAB1;EMP2;NRG1;VASH1;DCN;CLDN5;IL1A;IL1B;RHOJ;COL4A3;APLNR;PPARG;RAMP2;NPR1;GATA6;ECSCR;GATA2;RRAS;ALOX5;SASH1;ANGPT4;TGFB2;TNFSF12;DAB2IP;VEGFD;KLF4;IL6;RGCC;TEK;PF4,Down
GO_Biological_Process_2023,Actomyosin Structure Organization (GO:0031032),26/77,1.1101824144873778e-06,0.0007290197855133781,0,0,3.5906496631757263,49.23134804821888,LMOD1;ARRB1;LMOD3;MYLK3;MYOM2;PDLIM1;EPB41L2;EPB41L3;ANKRD1;CAPN3;PGM5;PHACTR1;MYH11;MYOZ1;MYOZ2;MYH10;TMOD1;ACTN2;TMOD2;SORBS1;FHDC1;KLHL41;FRMD3;SYNPO2L;TNNT3;MYL9,Down
GO_Biological_Process_2023,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742),44/172,2.209499567996387e-06,0.0012436326139865,0,0,2.4280576453843024,31.61997436628482,PTPRT;ROBO2;ROBO4;AMIGO1;LRRC4;GATA5;PTPRM;NEXN;ITGAL;CDH5;SLITRK2;FLRT3;SLITRK3;HMCN2;CDH23;SCARF1;LRRC4B;NTNG1;CADM3;TGFB2;GRID2;CADM1;CNTN6;CRTAM;PCDHGC3;SELE;TGFBR2;PTPRD;SELP;CLDN11;CLDN5;MAG;JAML;CDH10;CDHR3;PECAM1;CDH13;CLDN18;DCHS1;ESAM;PCDHB4;FAT4;CEACAM8;ADGRL3,Down
GO_Biological_Process_2023,Bleb Assembly (GO:0032060),6/6,3.821854026499371e-06,0.0018822631080509,0,0,104982.0,1309626.8191646354,P2RX7;PMP22;EMP1;EMP2;EMP3;MYLK,Down
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),54/236,6.601487703151634e-06,0.002889984616713,0,0,2.09776136480914,25.0225496789673,NRROS;CXCL3;ITGAL;CXCL2;CX3CL1;CRHBP;ADGRE5;HYAL1;CCRL2;PROK2;OLR1;PTGIR;SLC11A1;NFAM1;IL13;CYBB;FOS;IL1A;IL1B;AGTR1;AGTR2;TLR4;CD44;CCL14;PTGER4;PTGFR;ALOX15;C5AR1;FPR1;FPR2;NLRC4;MEFV;ADCY8;AGER;IL1RL1;SCUBE1;CXCR2;CCL2;CCL18;CCL16;AOC3;CCL24;CCL23;ODAM;PPBP;LYZ;SELE;BMP2;IL6;SIGLEC1;ACKR1;IL17D;CDO1;PF4,Down
GO_Biological_Process_2023,Second-Messenger-Mediated Signaling (GO:0019932),23/72,1.2978473003812572e-05,0.0048530528289171,0,0,3.3023699802501647,37.158988571884144,P2RY12;RYR2;EDN1;EDN3;PTGDR2;LRRK2;FPR1;NDNF;FPR2;SELE;CNKSR2;RCAN1;FCGR3A;SAMD14;EDNRB;AGTR1;BTK;PLCE1;NMUR2;NMUR1;CD36;NOS1;AGTR2,Down
