Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,direction
prerank,G2-M Checkpoint,0.78694324196587,2.4017670321321622,0.0,0.0,0.0,86/199,8.54%,TOP2A;KIF4A;NEK2;CDC20;UBE2C;CENPF;KIF2C;TROAP;CDC6;PLK1;TPX2;EXO1;BIRC5;ORC6;EZH2;STIL;HMGB3;CENPA;AURKB;CCNB2;CDC45;MYBL2;POLQ;MKI67;RAD54L;TTK;KIF11;NDC80;HMMR;ESPL1;GINS2;CCNA2;PBK;CHEK1;KIF15;KNL1;AURKA;BUB1;CENPE;KIF23;CCNF;CDKN3;TRAIP;MAD2L1;PTTG1;E2F2;E2F3;CDK1;KPNA2;CDC25A;HMGA1;SLC7A5;LMNB1;PLK4;KIF22;JPT1;DKC1;TACC3;MCM6;MCM2;HOXC10;CKS1B;DBF4;DTYMK;H2AX;UBE2S;RACGAP1;BARD1;INCENP;XPO1;KIF20B;PRIM2;LIG3;E2F1;EGF;CHAF1A;DDX39A;BUB3;PRC1;MCM3;POLE;KPNB1;CDC7;CBX1;NSD2;ORC5,Activated
prerank,E2F Targets,0.7647891202112103,2.3454490368109826,0.0,0.0,0.0,121/199,16.12%,TOP2A;UBE2T;KIF4A;CDC20;KIF18B;KIF2C;DLGAP5;SPAG5;PLK1;BUB1B;MELK;E2F8;BIRC5;ORC6;DEPDC1;CDCA8;GINS1;CDCA3;EZH2;HMGB3;RRM2;AURKB;CCNB2;PAICS;MYBL2;MKI67;HMMR;ESPL1;CCNE1;CHEK1;SPC24;TK1;HELLS;ASF1B;NME1;MCM4;AURKA;CENPE;CDKN3;MAD2L1;PTTG1;CDK1;TIMELESS;TRIP13;SPC25;GINS4;KPNA2;CDC25A;HMGA1;DONSON;LMNB1;PLK4;KIF22;JPT1;ATAD2;TACC3;CDKN2A;RAD51AP1;MCM6;MCM2;CKS1B;CHEK2;TBRG4;CENPM;TUBG1;DSCC1;H2AX;MXD3;PRDX4;UBE2S;MTHFD2;RACGAP1;BARD1;BRCA1;XPO1;MCM7;PRIM2;LIG1;PCNA;DDX39A;MSH2;TCF19;PRKDC;RANBP1;MCM3;POLE;PMS2;CIT;NOP56;ANP32E;UNG;NCAPD2;EED;POLD2;SLBP;RFC2;ORC2;GINS3;POP7;SSRP1;AK2;NASP;WDR90;POLA2;RFC3;DCTPP1;CDK4;BRCA2;NUP107;PA2G4;CSE1L;MMS22L;CNOT9;NOLC1;TMPO;CTPS1;RAD51C;HMGB2;H2AZ1;RPA3;NUP205,Activated
prerank,Glycolysis,0.6696729067619491,2.0351176506037687,0.0,0.0,0.0,75/195,12.85%,B3GNT3;KIF20A;DEPDC1;SPAG4;CENPA;EFNA3;HS6ST2;HMMR;SLC25A10;KDELR3;AURKA;CDK1;ERO1A;GMPPA;PC;B4GALT2;PFKP;TPBG;EGLN3;PMM2;ABCB6;AK4;MIOX;ENO1;LDHA;GFPT1;CHPF2;FUT8;BIK;ARTN;HSPA5;PPFIA4;COL5A1;SLC37A4;SLC25A13;IGFBP3;TPI1;CLDN3;CASP6;CHPF;PLOD2;SRD5A3;ANKZF1;LCT;CAPN5;COG2;RPE;PKM;GCLC;RARS1;GALE;XYLT2;FKBP4;B4GALT4;VCAN;PSMC4;SLC16A3;B4GALT7;NT5E;TFF3;PAXIP1;PLOD1;CLDN9;B3GAT3;MDH2;COPB2;GPR87;ALDOA;GOT1;B3GAT1;NOL3;POLR3K;BPNT1;NASP;P4HA1,Activated
prerank,Myc Targets V1,0.6453168033019053,1.9711268971435274,0.0,0.0,0.0,103/200,20.69%,CDC20;CDC45;SRPK1;CCNA2;NME1;MCM4;MAD2L1;CCT3;KPNA2;CSTF2;RFC4;GNL3;HSPD1;MCM6;CBX3;MCM2;ILF2;LDHA;HSPE1;RPS10;HDGF;EPRS1;MRPL9;CCT5;SNRPA1;PRDX4;AIMP2;EIF3B;CAD;SRM;XPO1;TYMS;RNPS1;MCM7;PABPC1;PCNA;PPM1G;IARS1;CLNS1A;BUB3;RANBP1;KPNB1;HPRT1;SNRPA;NOP56;XPOT;PSMD14;PSMC4;APEX1;POLD2;NOP16;ORC2;HSP90AB1;HNRNPC;PABPC4;SNRPD1;RRM1;PRPS2;PSMB3;TOMM70;PSMD3;CYC1;SSBP1;VDAC1;PSMB2;PSMA6;CDK4;PA2G4;CCT7;NOLC1;SF3B3;RPS2;CTPS1;H2AZ1;PHB;ABCE1;GOT2;HNRNPA2B1;ACP1;RSL1D1;LSM2;TFDP1;NHP2;NCBP2;SNRPG;PSMC6;MCM5;SMARCC1;NPM1;PGK1;CCT2;HDAC2;IMPDH2;SSB;KARS1;TUFM;LSM7;RAN;TRIM28;CCT4;FBL;PPIA;PSMD1,Activated
prerank,Myc Targets V2,0.7163211814874624,1.885164096618628,0.0,0.0,0.0,41/58,21.55%,PLK1;MCM4;PLK4;GNL3;TFB2M;HSPD1;CBX3;TBRG4;SORD;PUS1;HSPE1;BYSL;AIMP2;SRM;EXOSC5;PRMT3;MRTO4;WDR74;NOP56;UNG;IMP4;NOP16;MPHOSPH10;DCTPP1;CDK4;PA2G4;TCOF1;NOLC1;SUPV3L1;PHB;IPO4;MYBBP1A;WDR43;MCM5;NPM1;NIP7;RRP12;UTP20;LAS1L;PES1;NOC4L,Activated
prerank,Mitotic Spindle,0.5639593120654287,1.7078972217793782,0.0,0.0001895734597156398,0.002,33/198,6.43%,TOP2A;KIF4A;NEK2;CENPF;KIF2C;DLGAP5;ANLN;PLK1;TPX2;BIRC5;CCNB2;TTK;KIF11;NDC80;ESPL1;KIF15;KNTC1;AURKA;BUB1;CENPE;KIF23;ECT2;CDK1;LMNB1;KIF22;PIF1;NET1;RACGAP1;SASS6;INCENP;CEP72;KIF20B;CTTN,Activated
prerank,Unfolded Protein Response,0.587040462550005,1.6950418525662985,0.0,0.00032498307379823964,0.004,50/113,21.70%,ALDH18A1;PSAT1;KDELR3;ERO1A;SLC7A5;DKC1;CKS1B;HSPA5;H2AX;MTHFD2;HYOU1;EXOSC5;HSP90B1;SRPRB;PDIA6;SLC1A4;PREB;NFYA;IARS1;TARS1;YWHAZ;ARFGAP1;EXOSC4;EIF4EBP1;NOP56;CALR;XPOT;EXOSC1;EXOSC2;SHC1;PAIP1;YIF1A;SDAD1;SSR1;FKBP14;ASNS;NOLC1;EIF4A3;TUBB2A;NHP2;DDX10;HSPA9;NOP14;NPM1;SEC31A;LSM4;DDIT4;FUS;CHAC1;BANF1,Activated
prerank,Spermatogenesis,0.5820131651017119,1.6559580884965053,0.0,0.0007819905213270143,0.011,30/110,12.70%,NEK2;KIF2C;EZH2;CCNB2;TTK;NCAPH;YBX2;AURKA;BUB1;CDKN3;CDK1;GAD1;RFC4;SLC2A5;RPL39L;DBF4;SCG5;MAST2;ACRV1;PHKG2;STRBP;COIL;MTNR1A;OAZ3;IDE;PARP2;THEG;TOPBP1;PCSK1N;TNNI3,Activated
prerank,mTORC1 Signaling,0.5423749694482297,1.6510957725092867,0.0,0.000821484992101106,0.013,87/200,21.12%,PLK1;RRM2;PSAT1;SLC2A1;MCM4;AURKA;BUB1;CCNF;ERO1A;CDC25A;SLC7A5;PDK1;GAPDH;EGLN3;HSPD1;SHMT2;AK4;MCM2;ENO1;LDHA;SORD;SLC7A11;HSPE1;SRD5A1;EPRS1;TUBG1;HMBS;HSPA5;GPI;SLC37A4;MTHFD2;TPI1;SERPINH1;PLOD2;HSP90B1;STIP1;SLC1A4;DDX39A;CCT6A;GCLC;FKBP2;YKT6;HPRT1;SDF2L1;CACYBP;CALR;DHFR;PSMD14;UNG;PSMC4;ATP2A2;PSPH;UCHL5;TRIB3;MLLT11;ALDOA;GOT1;P4HA1;TUBA4A;EEF1E1;CTH;SSR1;SLC9A3R1;TOMM40;GMPS;ABCF2;PSMB5;ASNS;TXNRD1;NUP205;TCEA1;SYTL2;HSPA9;G6PD;PSMG1;PSMC6;PGK1;ATP5MC1;GSR;PSME3;PNO1;PSMD12;SLC1A5;PPIA;IDH1;DDIT4;ELOVL6,Activated
prerank,DNA Repair,0.529894718231152,1.5719889290264049,0.001177856301531213,0.0034691943127962083,0.059,51/147,20.96%,ZWINT;NME1;RAD51;FEN1;RFC4;POLR2H;NME4;TYMS;CANT1;POLR1C;LIG1;SEC61A1;POLR2D;PCNA;NELFCD;CSTF3;CCNO;RFC5;POLB;HPRT1;RAE1;VPS37D;SAC3D1;CDA;TMED2;RFC2;SSRP1;TARBP2;ERCC3;POLA2;RFC3;ALYREF;POLR2J;ITPA;RPA3;DGUOK;ERCC2;TAF6;UPF3B;POLR3C;NCBP2;AAAS;ARL6IP1;TAF12;IMPDH2;APRT;ADRM1;PRIM1;ADA;NT5C3A;POLD1,Activated
