driver,hub_gene,p_value,significant
TP53,BIRC5,0.00012072408694342742,True
TP53,CCNB1,0.00023843379720364728,True
TP53,CCNB2,0.0022161163446476648,True
TP53,CDC20,0.004687440424275874,True
TP53,KIF2C,0.0057447785429883165,True
KRAS,BIRC5,0.005425426083698952,True
KRAS,CCNB1,0.020218649215190114,True
KRAS,CCNB2,0.030952268181246214,True
KRAS,CDC20,0.2569898423798012,False
KRAS,KIF2C,0.2870342493770309,False
EGFR,BIRC5,0.008406181331471209,True
EGFR,CCNB1,0.003648023316809897,True
EGFR,CCNB2,0.04084009114592152,True
EGFR,CDC20,0.012826184713303827,True
EGFR,KIF2C,0.002186006857159599,True
