cancer_type,n_samples,BIRC5_mean,BIRC5_median,BIRC5_std,CCNB1_mean,CCNB1_median,CCNB1_std,CCNB2_mean,CCNB2_median,CCNB2_std,CDC20_mean,CDC20_median,CDC20_std,KIF2C_mean,KIF2C_median,KIF2C_std
ACC,20,3.718025998807415,3.4163988136719388,1.6984386972957404,5.599138473904183,5.5980540815622195,1.188071049284752,3.6114503102074202,3.0681311719933495,1.6304337220523974,4.025993277995723,3.394183142012274,1.6670551762171106,2.806737477648242,2.261662380315422,1.405822533547141
BLCA,30,4.715078821452069,5.389718612519289,2.0537224246583086,5.5110613493239855,5.8865923049797315,1.7365831514339902,4.559759687141837,4.978309958618566,1.7174011224970174,5.691743724844368,6.081175039812254,2.282851342260525,4.138496099230955,4.327031025436494,1.7948432257714386
BRCA,30,3.6792224204594826,4.109494893293265,1.7982506969327359,5.096629622405163,5.156321728006985,1.4621159831334745,3.6364848305205375,3.862297945818036,1.5245462167517003,4.353848957606405,4.938096846795725,1.9250507871020657,3.2029498054907206,3.45193570932887,1.58492661205397
CESC,23,5.497326261435084,6.0534719651430775,1.7546247784062436,6.631636472281384,6.810745133288677,1.4809648202917367,5.4891501613711915,5.967947858239639,1.6217354985586874,6.691225781311217,7.3309545131465335,2.0555743483633964,5.163016195858373,5.689005558997332,1.5729967975682533
CHOL,29,3.1364827988194763,3.445753184293458,2.043356609936207,3.8357663857078914,4.498199797772926,1.9995097489390927,2.935957725115264,3.7686078061158117,1.9344619104126948,3.6012408612431255,4.242800643780697,2.334584002672993,2.6837264133352225,3.1871976495492866,1.7990284454913104
COAD,30,5.3905992122987145,5.295412658152593,1.0129008513460296,6.329998562243096,6.39083141233729,1.0049400212032686,5.25308681907177,5.118639646107896,0.7475107616853496,6.46913379584431,6.52608767590319,0.8672165785771361,4.4019884267484155,4.253096941245389,0.8836035808692797
DLBC,20,6.50863972045803,6.629631253771645,0.6473792598986039,7.1709557138081035,7.203793611216243,0.6124747242049449,6.005950217140114,6.029873556866663,0.5426347455826576,7.531105651144339,7.404813590429997,0.677731193390077,6.050245620618002,6.096347779121715,0.673767228853231
ESCA,30,4.393587560372099,4.791380460303828,1.836724895202213,5.492700516950247,5.734342542729719,1.7271472190464852,5.035094310065789,5.634365225087311,1.6810029494920018,5.638118455661696,6.24021304350464,1.9005217942147081,4.309027642970085,4.6312267617825835,1.6605814616630334
GBM,25,4.503241486919605,4.871380413854135,2.2635238126106647,5.390673461035764,5.453935643397149,1.5240103648672927,3.717449524859624,3.9165053069683724,1.824338138596439,4.655377795871629,5.195623196049427,1.8289313717032303,3.6971904153427544,4.246613303240872,1.7085699963481435
HNSC,30,5.107136035237847,5.363369051001714,1.5447221435554697,5.859517689343153,5.974756797960224,1.3921867174750815,4.72859795016801,4.88189763491609,1.4676687243897324,6.105945127813344,6.448066587452825,1.5692565473725812,4.166979548379092,4.597775366819521,1.3658767959037548
