cancer_type,gene,HR,p_value,log_HR,n_samples,n_events,significant
BLCA,BIRC5,1.1301351486969056,0.6277320348366966,0.1764953095395534,30,16,False
BLCA,CCNB1,1.0813795165317113,0.7500820937584163,0.11287293429193629,30,16,False
BLCA,CCNB2,1.0355160863337691,0.8863395612049926,0.05034996543065353,30,16,False
BLCA,CDC20,1.1307258974130023,0.6232798395982702,0.17724924376650364,30,16,False
BLCA,KIF2C,1.0929252279295982,0.7162171027350572,0.1281947029447334,30,16,False
BRCA,BIRC5,0.60834586859875,0.20449164541654455,-0.7170363089823136,30,9,False
BRCA,CCNB1,0.5875889984390756,0.20416751363735056,-0.7671207106439069,30,9,False
BRCA,CCNB2,0.6429899564896358,0.2730697973199098,-0.6371318920709358,30,9,False
BRCA,CDC20,0.5680844403534315,0.16412472829495353,-0.8158227063107844,30,9,False
BRCA,KIF2C,0.5624111578789182,0.1652925679076282,-0.8303028780428818,30,9,False
LUAD,BIRC5,0.8422723381708528,0.6423595225445393,-0.24764130886184396,30,10,False
LUAD,CCNB1,1.0175185766576085,0.9624567746089172,0.025055133761459427,30,10,False
LUAD,CCNB2,0.8971651222828128,0.7621832758709214,-0.15655455882304906,30,10,False
LUAD,CDC20,0.902780800931281,0.7678746714384069,-0.14755235723461133,30,10,False
LUAD,KIF2C,0.7582329272010191,0.4517706095635978,-0.39928698620504144,30,10,False
