,ME1,ME2,ME3,ME4,ME5,ME6,ME7
TCGA-97-A4M3-01A,-6.040290451415391,-5.424575015190664,3.9295705658399593,2.857424679525496,-0.543160195487922,-22.357902335507756,7.22298476891953
TCGA-49-AAQV-01A,-0.9144160510976828,1.72751818071311,5.5035680399664075,3.2842179336580624,-5.464234746639741,-4.124898464611553,-15.76120035589767
TCGA-50-6595-01A,-1.9420465148743906,-0.5491566572142196,-8.977525882317865,-10.985343080837524,8.884715608995334,0.2374643756147668,-13.564094826833138
TCGA-49-4486-01A,-6.256118547571377,-8.345729116825625,-6.671452950022018,-8.005364198240386,-17.75767482052996,-38.8238641142518,-1.6767320654830875
TCGA-44-6148-01A,6.117696311289928,-0.10265756314489406,-1.1370213632117872,2.675842712876527,7.411504184959348,2.8231512937158296,40.10125720679742
TCGA-69-7761-01A,14.12605925691408,7.6079344868194605,1.689652371667884,1.4837521590532892,2.1743308781441733,14.624617956910422,-8.28892560448292
TCGA-86-8281-01A,5.323927292616996,-0.3506183826089771,0.8408719758968982,0.823726991656604,-2.5386069386558905,-16.004594052414184,5.928703986163423
TCGA-73-4666-01A,-7.779653532411414,2.190832823939288,-1.6994799307834405,-4.070909360998835,-7.101791897669917,13.978542260020376,-32.245215657845215
TCGA-62-8399-01A,-0.6111697587633871,-3.1771435027017696,3.365792724360458,1.6018571065169633,1.7119512709034472,-10.656958633727053,-0.7944771063957901
TCGA-49-AARN-01A,5.501507177488387,1.777566902605691,4.942829188863942,4.90885449683357,-0.6084943183790754,-7.541512529973085,-1.6091592243339445
TCGA-78-7158-01A,-6.505405081556894,-6.1909332957512655,3.0482822108927294,2.7537781389783818,-7.59554444610413,-17.44211793929144,-7.241096893586868
TCGA-55-6978-11A,-8.007179076621403,-2.983392122602286,-2.86870542920737,1.750721031160468,3.7414008090609503,20.85694993060134,52.3737033743556
TCGA-44-2655-11A,-11.416265524126839,-6.046994739467462,-7.233901747882567,-4.167180445217717,11.52985923234817,10.243164758431023,56.01658468685579
TCGA-55-A490-01A,6.7965265820089575,-1.156075614015716,-2.3471325475442018,-3.2335136587145676,-0.13335802203675648,-11.119479050247154,-21.185610825433265
TCGA-05-4389-01A,-0.5399971881601171,1.8352551260058336,-4.364457323529815,-6.344158372391155,-7.568057655193672,9.059363453788524,-19.355666314595
TCGA-62-A46Y-01A,-5.582244103657163,-0.23311347334599758,5.073971250138996,5.931839301732182,-7.013138234438975,8.387634840307424,1.3616546103610143
TCGA-97-8174-01A,2.0020887917002606,0.3466188333983954,3.4155706540483046,5.530392888885187,6.20529472848052,2.3877878665639383,28.442328073040912
TCGA-55-6983-11A,-9.553602338583215,-2.701430724169219,-3.591121834840257,0.876080729714232,-3.0777692862085426,18.873044349558537,36.32866108166843
TCGA-69-A59K-01A,9.091478497683218,4.705490426394309,4.199751262265601,4.962896619464059,-3.4177462959084575,-0.824946286089669,-11.919119005022605
TCGA-44-3918-01B,-4.279309612878353,2.9711428654993672,5.020456457334823,11.15549585397723,4.753559060518063,13.590398772635911,7.67983043331188
TCGA-49-AAR3-01A,6.882347968753722,7.0838419853788475,4.046884048223064,1.7215211718073424,2.13302912886937,14.774112300380837,-24.35825580214821
TCGA-49-4490-11A,-4.385727154570508,-4.608284397290675,-12.134108854761385,-10.703341911433759,5.040145925213517,12.05906942247228,43.55937088621079
TCGA-44-6145-01A,11.715561118044524,6.310861988510046,-3.1326819427841106,-3.031642583508239,3.945334458142378,12.255276999978776,-6.055353700999582
TCGA-99-8025-01A,-0.9274873792022,-2.3824550297276916,2.528117491834386,1.2660347816516395,1.6079739621665292,-16.71036792856215,-3.649164310190352
TCGA-49-AAR4-01A,13.690568499697916,7.638182606697144,7.448258906752915,7.734244658884852,-1.0734773101853337,10.434373683415247,-12.03797103931765
TCGA-MP-A4TF-01A,7.248676346265358,0.0512891736361104,6.594010910798883,4.88650397456098,-7.889834375116759,-18.18545600469882,-24.33062896391673
TCGA-86-8358-01A,2.9748542003386937,-0.1446845305749931,3.878805424897084,2.853207176636934,2.082857754379475,-8.75257305679468,-24.598356536683696
TCGA-86-7714-01A,-12.721266444315773,-6.006337997863065,-3.732174829878903,-0.5292272594760429,-2.5947216047332797,-4.778237411310547,9.285466442419688
TCGA-73-4662-01A,6.838687953817135,3.5204639697705087,0.6892769357528106,0.7402921545484068,-1.9805842769240276,5.467677921687329,3.424938685391271
TCGA-44-8117-01A,-0.03349853074282651,-1.6384613769841443,2.4443725933867744,1.3873139205581397,0.3325853250356422,-13.56684145775015,-11.222022617998821
TCGA-35-5375-01A,2.0467039665864424,-1.2652458304335907,-4.144583558322966,-6.791626366008152,-5.599318600542784,-11.603037474205934,-28.856133758722645
TCGA-97-7547-01A,0.29086803620655943,-1.0092227793183148,-4.996482446040925,-4.219464650934808,0.31667080952979165,-8.066244571257801,10.004961510024325
TCGA-91-8499-01A,1.5315338671888659,-0.7961975238798219,-0.02058320745116137,-1.5217106595117502,-2.5978600145389086,-3.356720162963895,-28.260316029586807
TCGA-91-6849-01A,9.368931397901811,2.369788677094935,-1.3213316777332889,-1.2389086946232963,-4.582056161953746,-0.06749201537714124,8.639557921459508
TCGA-55-7227-01A,-2.479062670898123,1.502929923673078,-0.496308040929486,2.4541444841357882,4.421154674961224,9.68627080915448,5.192079862747555
TCGA-86-A4D0-01A,-2.468389271566884,-2.1045051036007782,3.7305000694549237,0.06766174164977688,-8.781876948936938,-20.276395564544437,-33.04054771049017
TCGA-97-A4M5-01A,-1.285794423465726,0.07416299408766584,3.7744592340187357,5.5200904148302685,4.342892058208377,8.485816289916972,22.199054782588668
TCGA-75-5122-01A,0.4765963277564183,7.4541260626322545,-2.040191859719267,-1.1560778449277511,-5.569067755000573,40.8196867444218,-14.091018080317623
TCGA-86-7701-01A,15.205599452665346,8.379359715592276,-2.741005352829447,-3.1162856812801487,4.2477757727076755,7.095942075067907,-10.435115966332813
TCGA-80-5611-01A,-4.3757838539528,0.20685892915320395,-0.8953365970513548,-3.4747709218497564,-10.719603878771442,9.396571508669172,-33.807379407985714
TCGA-MP-A4T9-01A,-5.502737990137978,-1.1056523294196294,4.150961129723437,5.10454675162053,4.058453449895682,8.176882646972224,10.28752837026938
