gene_id,MM,MM_pval,GS,GS_pval,module,gene_name,is_DEG
ENSG00000211592,0.9637633450425662,0.0,0.34424186108204113,1.8132167154481185e-17,1,IGKC,True
ENSG00000170476,0.9636070479754402,0.0,0.31139154388780016,2.0393249671248674e-14,1,MZB1,True
ENSG00000239951,0.9408154039034464,6.668994889225755e-272,0.3080026602381353,4.012985745492128e-14,1,IGKV3-20,True
ENSG00000241351,0.9380587841913178,2.101148658559811e-266,0.312294100831238,1.700396985115319e-14,1,IGKV3-11,True
ENSG00000243466,0.9377972066798606,6.776570985234092e-266,0.30253455684107605,1.1745252006584714e-13,1,IGKV1-5,True
ENSG00000244437,0.9340061802679376,9.176508458132678e-259,0.3427530722232413,2.539903478901145e-17,1,IGKV3-15,True
ENSG00000254709,0.9306916097915094,7.21947665941913e-253,0.3015077120161138,1.4333668350565032e-13,1,IGLL5,True
ENSG00000211677,0.9291085029590331,3.732412096180483e-250,0.3191056911007465,4.2273178685573294e-15,1,IGLC2,True
ENSG00000211966,0.9252624145743271,8.132518734763621e-244,0.30264708714743227,1.1491127368151532e-13,1,IGHV5-51,True
ENSG00000211598,0.9233306321699022,9.263409315393334e-241,0.32384980592737206,1.569789053892987e-15,1,IGKV4-1,True
ENSG00000211949,0.9228377354079028,5.417513437116159e-240,0.3209106729578854,2.9058669166445338e-15,1,IGHV3-23,True
ENSG00000211945,0.9224841090096134,1.9096738378037259e-239,0.29379833166393604,6.235325716911324e-13,1,IGHV1-18,True
ENSG00000143297,0.9214107058038179,8.433335253761022e-238,0.3570710057853749,9.209744640574234e-19,1,FCRL5,True
ENSG00000211653,0.9174121496787634,7.142800773013221e-232,0.31225424060899354,1.7141236103456443e-14,1,IGLV1-40,True
ENSG00000211952,0.9172280051499226,1.317006726186015e-231,0.2800058873911223,7.761000563500841e-12,1,IGHV4-28,True
ENSG00000211648,0.9158690697328303,1.1523708135267238e-229,0.28396324934524503,3.818148636542763e-12,1,IGLV1-47,True
ENSG00000048462,0.9154902375626972,3.954705670342397e-229,0.26352462981086777,1.3207928951975715e-10,1,TNFRSF17,True
ENSG00000224373,0.9153910646221829,5.456207876650684e-229,0.2761043404732418,1.5447570516475514e-11,1,IGHV4-59,True
ENSG00000211947,0.9147766133682557,3.972867726630995e-228,0.28739839205637474,2.0438826654813022e-12,1,IGHV3-21,True
ENSG00000211660,0.9147563197717505,4.241010240263467e-228,0.27719616295196275,1.2754958931882418e-11,1,IGLV2-23,True
ENSG00000139193,0.9206226522010728,1.3148153889717033e-236,0.26307949732306396,1.422098145759479e-10,2,CD27,True
ENSG00000143851,0.9129028827388826,1.5440929204364387e-225,0.2084467261781522,4.478608487136033e-07,2,PTPN7,False
ENSG00000181847,0.8849925928760065,1.0406961935227896e-192,0.24715937704326785,1.827214061407656e-09,2,TIGIT,True
ENSG00000089012,0.8843087692147447,5.144600324638993e-192,0.2977752888987384,2.9367985522782396e-13,2,SIRPG,True
ENSG00000122188,0.8724040429117036,1.3652489679247447e-180,0.1255350725743301,0.002542433134674665,2,LAX1,False
ENSG00000124256,0.8559977191553054,1.3282565862534011e-166,0.22643243458091433,3.9273139156200034e-08,2,ZBP1,True
ENSG00000103522,0.8525364513079448,7.126285616680531e-164,0.13526266959472363,0.0011370447687584703,2,IL21R,False
ENSG00000026751,0.8496848952997428,1.120867955997364e-161,0.21348152090857975,2.3139362461018655e-07,2,SLAMF7,True
ENSG00000177455,0.8470709874700052,1.0555164979146602e-159,0.27619770469165494,1.51971310940656e-11,2,CD19,True
ENSG00000137265,0.8467504246372171,1.8322777250430932e-159,0.11404065450850916,0.0061444043886560405,2,IRF4,False
ENSG00000189233,0.8436539318888955,3.53812645180746e-157,0.1413404481206014,0.000669204717601572,2,NUGGC,False
ENSG00000117215,0.830047361609237,1.0805662660277797e-147,0.17549346928531603,2.27933594449441e-05,2,PLA2G2D,True
ENSG00000226777,0.8246572282077329,3.635098993091729e-144,0.24719859350854448,1.8161441504909662e-09,2,FAM30A,True
ENSG00000028277,0.815557769859529,1.7712380397169167e-138,0.10536874134866817,0.011393133912879598,2,POU2F2,False
ENSG00000132185,0.8153692866898873,2.30539078037866e-138,0.23566339093400743,1.0376693225328408e-08,2,FCRLA,True
ENSG00000007312,0.8109843492941364,9.755910013433307e-136,0.11151182387279415,0.007388002192828412,2,CD79B,False
ENSG00000105639,0.797437191857451,4.880036075150314e-128,0.36229896431491604,2.6282912566639487e-19,2,JAK3,True
ENSG00000139626,0.7961939609559657,2.3201296701647125e-127,0.07429179846196315,0.07481570366517389,2,ITGB7,False
