gene_id,module,module_color,gene_name
ENSG00000229807,0,#cccccc,XIST
ENSG00000168484,7,#f45deb,SFTPC
ENSG00000096088,0,#cccccc,PGC
ENSG00000117983,0,#cccccc,MUC5B
ENSG00000066405,7,#f45deb,CLDN18
ENSG00000171557,0,#cccccc,FGG
ENSG00000163993,0,#cccccc,S100P
ENSG00000105388,0,#cccccc,CEACAM5
ENSG00000198183,0,#cccccc,BPIFA1
ENSG00000164266,0,#cccccc,SPINK1
ENSG00000122852,7,#f45deb,SFTPA1
ENSG00000101210,0,#cccccc,EEF1A2
ENSG00000125999,0,#cccccc,BPIFB1
ENSG00000181143,0,#cccccc,MUC16
ENSG00000185303,7,#f45deb,SFTPA2
ENSG00000161055,7,#f45deb,SCGB3A1
ENSG00000149021,7,#f45deb,SCGB1A1
ENSG00000164265,7,#f45deb,SCGB3A2
ENSG00000019186,0,#cccccc,CYP24A1
ENSG00000171560,0,#cccccc,FGA
ENSG00000161798,0,#cccccc,AQP5
ENSG00000204544,0,#cccccc,MUC21
ENSG00000102854,0,#cccccc,MSLN
ENSG00000167757,0,#cccccc,KLK11
ENSG00000187908,7,#f45deb,DMBT1
ENSG00000060718,0,#cccccc,COL11A1
ENSG00000143320,0,#cccccc,CRABP2
ENSG00000142973,7,#f45deb,CYP4B1
ENSG00000211935,0,#cccccc,IGHV1-3
ENSG00000286042,0,#cccccc,LCAL1
ENSG00000007062,0,#cccccc,PROM1
ENSG00000153292,0,#cccccc,ADGRF1
ENSG00000065618,0,#cccccc,COL17A1
ENSG00000146166,0,#cccccc,LGSN
ENSG00000162896,7,#f45deb,PIGR
ENSG00000211898,0,#cccccc,IGHD
ENSG00000002726,0,#cccccc,AOC1
ENSG00000099994,7,#f45deb,SUSD2
ENSG00000160180,0,#cccccc,TFF3
ENSG00000282651,0,#cccccc,IGHV5-10-1
ENSG00000133661,7,#f45deb,SFTPD
ENSG00000007402,7,#f45deb,CACNA2D2
ENSG00000171885,7,#f45deb,AQP4
ENSG00000088992,0,#cccccc,TESC
ENSG00000196616,7,#f45deb,ADH1B
ENSG00000105825,0,#cccccc,TFPI2
ENSG00000160862,0,#cccccc,AZGP1
ENSG00000022556,0,#cccccc,NLRP2
ENSG00000196611,0,#cccccc,MMP1
ENSG00000125740,7,#f45deb,FOSB
ENSG00000204305,7,#f45deb,AGER
ENSG00000169562,0,#cccccc,GJB1
ENSG00000151632,0,#cccccc,AKR1C2
ENSG00000156076,7,#f45deb,WIF1
