gene,cnv_id,cnv_change
BIRC5,ceadf3d9-7e5c-5be5-b5be-4d151333839d,Gain
BIRC5,096f564f-3bd2-5aef-b36c-0fa5ee75d321,Gain
BIRC5,5308d85e-0438-5c60-bd31-168ebbbfca24,Loss
CCNB1,166b17d2-55a1-50cb-abb4-6c6df7d6b179,Loss
CCNB1,02e21d17-2efc-52f1-9942-793cca921b91,Gain
CCNB1,485f227c-48e0-51fe-931d-8747841f2ba0,Gain
CCNB2,e5c44840-ac78-5283-b816-3454067882ad,Gain
CCNB2,927150c6-312d-5bed-8960-1c1a7795440e,Gain
CCNB2,9556eb2e-c8b4-5452-8358-9881e98a0324,Loss
CDC20,8ed7b7f3-c56b-57fb-b7e2-ab9907a39fb3,Loss
CDC20,1f67888a-afab-5fc6-8979-8ca41225fc14,Gain
CDC20,db01559d-4379-5f18-8761-7ad73c1839dd,Gain
KIF2C,8a7f41ee-5eed-5da3-ad2c-2768cbe81a0c,Gain
KIF2C,53002d4b-a265-5407-9f16-f877f8e6cdc6,Loss
KIF2C,a249867e-d72c-5db3-8bc1-9771c825c16e,Gain
